Title,cover_url
Fallen Angels (Horus Heresy #11),http://books.google.com/books/content?id=IIFTPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cypher: Guardian of the Order,https://books.google.com/books/content?id=aKoXrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Savage Weapons,https://books.google.com/books/content?id=Zd10kgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lion,http://books.google.com/books/content?id=Y840rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
By The Lion's Command,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Prince of Crows,https://books.google.com/books/content?id=ZlVluwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Master of the First,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Long Night,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Midmight Library,http://books.google.com/books/content?id=M53SDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Thousand Suns (Horus Heresy #12),http://books.google.com/books/content?id=82h8oAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Prospero Burns (Horus Heresy #15),http://books.google.com/books/content?id=fghcPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The First Heretic (Horus Heresy #14),http://books.google.com/books/content?id=zLWYSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Aurelian,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Legion (Horus Heresy #7),https://books.google.com/books/content?id=DllnswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Know No Fear (Horus Heresy #19),http://books.google.com/books/content?id=L_8wqAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Unburdened,https://wh40k.lexicanum.com/mediawiki/images/2/22/The-Unburdened.jpg
The Honoured ,https://wh40k.lexicanum.com/mediawiki/images/3/37/The-Honoured.jpg
Rules of Engagement,https://books.google.com/books/content?id=Zd10kgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Honour to the Dead,https://books.google.com/books/content?id=aKoXrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
